controller,run_name,angle_weight,R,max_steps,return,exit_code,duration_s,logfile,video_file
cont_lqr,q1_cont_lqr_aw0.5_R0.1_ms200,0.5,0.1,200,200.0,0,8.128037214279175,results/logs/q1_cont_lqr_aw0.5_R0.1_ms200.log,results/videos/q1_cont_lqr_aw0.5_R0.1_ms200.gif
cont_lqr,q1_cont_lqr_aw0.5_R0.1_ms1000,0.5,0.1,1000,1000.0,0,34.320234060287476,results/logs/q1_cont_lqr_aw0.5_R0.1_ms1000.log,results/videos/q1_cont_lqr_aw0.5_R0.1_ms1000.gif
cont_lqr,q1_cont_lqr_aw0.5_R1.5_ms200,0.5,1.5,200,200.0,0,9.306149244308472,results/logs/q1_cont_lqr_aw0.5_R1.5_ms200.log,results/videos/q1_cont_lqr_aw0.5_R1.5_ms200.gif
cont_lqr,q1_cont_lqr_aw0.5_R1.5_ms1000,0.5,1.5,1000,1000.0,0,33.26226305961609,results/logs/q1_cont_lqr_aw0.5_R1.5_ms1000.log,results/videos/q1_cont_lqr_aw0.5_R1.5_ms1000.gif
cont_lqr,q1_cont_lqr_aw0.5_R5.0_ms200,0.5,5.0,200,200.0,0,8.190902948379517,results/logs/q1_cont_lqr_aw0.5_R5.0_ms200.log,results/videos/q1_cont_lqr_aw0.5_R5.0_ms200.gif
cont_lqr,q1_cont_lqr_aw0.5_R5.0_ms1000,0.5,5.0,1000,788.0,0,26.366986989974976,results/logs/q1_cont_lqr_aw0.5_R5.0_ms1000.log,results/videos/q1_cont_lqr_aw0.5_R5.0_ms1000.gif
cont_lqr,q1_cont_lqr_aw2.0_R0.1_ms200,2.0,0.1,200,200.0,0,8.281965970993042,results/logs/q1_cont_lqr_aw2.0_R0.1_ms200.log,results/videos/q1_cont_lqr_aw2.0_R0.1_ms200.gif
cont_lqr,q1_cont_lqr_aw2.0_R0.1_ms1000,2.0,0.1,1000,1000.0,0,31.956825017929077,results/logs/q1_cont_lqr_aw2.0_R0.1_ms1000.log,results/videos/q1_cont_lqr_aw2.0_R0.1_ms1000.gif
cont_lqr,q1_cont_lqr_aw2.0_R1.5_ms200,2.0,1.5,200,200.0,0,8.241564989089966,results/logs/q1_cont_lqr_aw2.0_R1.5_ms200.log,results/videos/q1_cont_lqr_aw2.0_R1.5_ms200.gif
cont_lqr,q1_cont_lqr_aw2.0_R1.5_ms1000,2.0,1.5,1000,1000.0,0,32.44795298576355,results/logs/q1_cont_lqr_aw2.0_R1.5_ms1000.log,results/videos/q1_cont_lqr_aw2.0_R1.5_ms1000.gif
cont_lqr,q1_cont_lqr_aw2.0_R5.0_ms200,2.0,5.0,200,200.0,0,8.296836853027344,results/logs/q1_cont_lqr_aw2.0_R5.0_ms200.log,results/videos/q1_cont_lqr_aw2.0_R5.0_ms200.gif
cont_lqr,q1_cont_lqr_aw2.0_R5.0_ms1000,2.0,5.0,1000,788.0,0,26.540127992630005,results/logs/q1_cont_lqr_aw2.0_R5.0_ms1000.log,results/videos/q1_cont_lqr_aw2.0_R5.0_ms1000.gif
